X,Y,LATITUDE,LONGITUDE,LABEL
307866.8273,4189796.884,"37° 50' 07.3811"" N","114° 48' 59.8767"" E",VP
307866.9968,4189792.253,"37° 50' 07.2311"" N","114° 48' 59.8880"" E",VP
307867.0133,4189791.801,"37° 50' 07.2164"" N","114° 48' 59.8891"" E",VP
307867.1668,4189787.608,"37° 50' 07.0806"" N","114° 48' 59.8994"" E",VP
307867.1833,4189787.156,"37° 50' 07.0660"" N","114° 48' 59.9005"" E",VP
307867.3284,4189783.192,"37° 50' 06.9376"" N","114° 48' 59.9102"" E",VP
307866.8273,4189796.884,"37° 50' 07.3811"" N","114° 48' 59.8767"" E",HP
307868.193,4189796.964,"37° 50' 07.3847"" N","114° 48' 59.9324"" E",HP
307868.4148,4189796.978,"37° 50' 07.3853"" N","114° 48' 59.9415"" E",HP
307869.6425,4189797.05,"37° 50' 07.3886"" N","114° 48' 59.9916"" E",HP
307869.8643,4189797.063,"37° 50' 07.3892"" N","114° 49' 00.0006"" E",HP
307871.1558,4189797.139,"37° 50' 07.3927"" N","114° 49' 00.0534"" E",HP
307871.3776,4189797.153,"37° 50' 07.3933"" N","114° 49' 00.0624"" E",HP
307872.6678,4189797.229,"37° 50' 07.3967"" N","114° 49' 00.1151"" E",HP
307872.8896,4189797.242,"37° 50' 07.3973"" N","114° 49' 00.1242"" E",HP
307874.1931,4189797.319,"37° 50' 07.4008"" N","114° 49' 00.1774"" E",HP
